,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
17,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
1131,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8
299,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9
1338,M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10
2383,F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16
2039,I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
3127,F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9
791,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
3599,M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
1566,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
3281,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
3009,I,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,4
1004,F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
4053,F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,10
1070,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
1167,M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8
3167,M,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15
2618,F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13
2966,M,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10
2939,F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10
610,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
1708,M,0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,14
913,I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6
280,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
3450,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
2698,F,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,9
