,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
2186,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
112,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
4074,I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8
3180,F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
3927,I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12
3355,I,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10
574,I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10
3868,F,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,8
1502,M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11
2796,M,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,10
764,F,0.61,0.47,0.145,1.153,0.403,0.296,0.32,14
473,F,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11
3258,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
3699,M,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
143,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
1806,M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
33,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
1436,I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,5
3295,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14
224,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
1793,M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10
770,F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
2065,F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8
4153,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8
2642,I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
3240,M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
1657,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
3410,I,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
836,M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
